wav,spec
3903.4056,9.897258437108583e-14
3904.3057,9.91566760135023e-14
3905.2061,9.935585080395433e-14
3906.1062,9.925699391956867e-14
3907.0064,9.922792546157883e-14
3907.9068,9.960227020691012e-14
3908.8069,1.0014470523444489e-13
3909.7073,1.0054147616231792e-13
3910.6074,1.0070448030307053e-13
3911.5075,1.0084184166382599e-13
3912.4079,1.0096052835865451e-13
3913.3081,1.0090486606568826e-13
3914.2084,1.0061326135952287e-13
3915.1086,1.0046653143530208e-13
3916.0087,1.0058793222000316e-13
3916.9091,1.0058550478727524e-13
3917.8092,1.0056006081651763e-13
3918.7096,1.005545028346503e-13
3919.6098,1.0040642780862503e-13
3920.5099,1.0015756929776195e-13
3921.4103,9.990818084343991e-14
3922.3104,9.991761895720898e-14
3923.2108,1.0007509874925865e-13
3924.1109,1.0013504037538331e-13
3925.0111,1.0015333406254135e-13
3925.9114,1.0008945662178368e-13
3926.8116,9.981560644228887e-14
3927.712,9.946727910223143e-14
3928.6121,9.914331524750431e-14
3929.5122,9.869639647237333e-14
3930.4126,9.820509206235128e-14
3931.3128,9.782773988379248e-14
3932.2131,9.725720773185086e-14
3933.1133,9.630062692010005e-14
3934.0134,9.543294686066193e-14
3934.9138,9.526838523116295e-14
3935.8139,9.590761247413486e-14
3936.7143,9.694794547802584e-14
3937.6144,9.788264281668217e-14
3938.5146,9.845060751500311e-14
3939.415,9.882150125682911e-14
3940.3151,9.908096622478278e-14
3941.2155,9.93398511628454e-14
3942.1156,9.950946930128727e-14
3943.0158,9.95108717459707e-14
3943.9161,9.937264693570861e-14
3944.8163,9.926563217788738e-14
3945.7167,9.946127293266277e-14
3946.6168,9.986053594541799e-14
3947.5169,1.000179884318295e-13
3948.4173,9.986694330643647e-14
3949.3174,9.974797034917728e-14
3950.2178,9.977055841266057e-14
3951.118,9.987964673326449e-14
3952.0181,9.98032956887639e-14
3952.9185,9.951869010398498e-14
3953.8186,9.921467139317185e-14
3954.719,9.92129662310681e-14
3955.6191,9.924276038097652e-14
3956.5193,9.885555594850706e-14
3957.4197,9.83334120235362e-14
3958.3198,9.803704244518631e-14
3959.2202,9.795045402065106e-14
3960.1203,9.789169111243081e-14
3961.0205,9.759589803848581e-14
3961.9208,9.742032569535477e-14
3962.821,1.0028106875913015e-13
3963.7214,1.1497045656813018e-13
3964.6215,1.623300071794018e-13
3965.5216,2.7656070921416223e-13
3966.422,4.847702159247299e-13
3967.3221,7.703793406611487e-13
3968.2225,1.0654041871991822e-12
3969.1227,1.2912345128094057e-12
3970.0228,1.3949448506601084e-12
3970.9232,1.3420663105040875e-12
3971.8233,1.1247050760140955e-12
3972.7237,8.017174557216072e-13
3973.6238,4.869368386792948e-13
3974.524,2.6742164802620754e-13
3975.4244,1.5460328344297288e-13
3976.3245,1.1136117589717363e-13
3977.2249,9.898519914332313e-14
3978.125,9.657906567907613e-14
3979.0252,9.661587960540293e-14
3979.9255,9.703584983834662e-14
3980.8257,9.74562013082407e-14
3981.7261,9.773222467972299e-14
3982.6262,9.77901139766342e-14
3983.5263,9.784919232521489e-14
3984.4267,9.808696228761662e-14
3985.3268,9.842668175381933e-14
3986.2272,9.867672812889504e-14
3987.1274,9.878351043925611e-14
3988.0275,9.895976558112306e-14
3988.9279,9.932300969904636e-14
3989.828,9.956602323097538e-14
3990.7284,9.955309351215349e-14
3991.6285,9.960909560377809e-14
3992.5287,9.985626954518038e-14
3993.4291,1.0009679350081607e-13
3994.3292,1.0011854797681202e-13
3995.2296,9.998630681402025e-14
3996.1297,9.984741601367574e-14
3997.0299,9.967236974367403e-14
3997.9302,9.943373665872024e-14
3998.8304,9.933029923160527e-14
3999.7308,9.956415450711916e-14
